Course Name,Course ID,Skills,Weeks of Study,Hours of work / Week,Total # of Hours
"Robot Mechanics and Control, Part II",SNU446.345.2x,Robotics,8,6.5,52
Quantitative Biology Workshop,7.QBWx,Biology ,7,6,42
Introduction to Computer Science,CS50x,Computer Science,N/A,N/A,N/A
Positive Behavior Support for Young Children,ECFS312x,Social Study,9,3.5,31.5
"Engineering Software as a Service, Part 2",CS169.2x,Engineering ,9,12,72
 Introduction to Computer Science and Programming Using Python,6.00.1x,Computer Science,9,12,72
Introduction to Biology - The Secret of Life,7.00x,Biology ,12,10.5,126
 Exoplanets,ANU-ASTRO2x,Planetary,10,3,30
Leaders of Learning,GSE2x,Learning ,2,5,10
Introduction to Computing with Java,COMP102x,Programming,10,4,40
Thermodynamics,ME209x,Physics ,12,9,72
"Introduction to Computer Programming, Part 1",CS101.1x,Programming,6,8,48
Introduction to Linux,LFS101x,Linux ,N/A,N/A,50
"Fundamentals of Immunology, Part 1",BIOC372.1x,Immunonlogy ,8,8.5,68
Anthropology of Current World Issues,World101x,Anthropology,8,2,16
Introduction to Global Sociology,SOC108x,Sociology ,12,N/A,N/A
Solar Energy,ET.3034TU,Energy ,14,8,112
Behavioral Medicine: A Key to Better Health,KIBehMedx,Sociology ,5,6.5,32.5
The Science of Happiness,GG101x,Psychology,10,2,20
Explore Statistics with R,KIExploRx,R,5,8,40
Effective Field Theory,8.EFTx,Physics ,18,12,216
English Grammar and Style,Write101x,Literature ,9,4,36
Composite Materials Overview for Engineers,AA432x,Engineering ,9,N/A,N/A
"Introduction to Computer Programming, Part 2",CS101.2x,Programming,6,8,48
War for the Greater Middle East,INTL301x,History,7,4,28
Energy Subsidy Reform,ESRx,Energy,2,9,18
Supply Chain and Logistics Fundamentals,CTL.SC1x,Logistics ,11,7,77
English for Doing Business in Asia - Speaking,EBA101x,Business,7,3.5,24.5
"The Search for Vernacular Architecture of Asia, Part 1",HKU02.1x,Architecture,5,2.5,12.5
Next Generation Infrastructures - Part 2,NGI102x,Infrastructures,6,N/A,N/A
The Art of Poetry,ARPO222x,Literature ,N/A,N/A,N/A
Epidemics,HKU01x,Epidemiology,10,2.5,25
Musculoskeletal Anatomy,AT1X,Anatomy,8,4.5,36
A System View of Communications: From Signals to Packets (Part 1),ELEC1200.1x,Information ,7,5,35
Improving Global Health: Focusing on Quality and Safety,PH555x,Health ,8,3,24
Super-Earths And Life,SPU30x,Xenoarchaeology,6,5,30
Introductory Physics — Part 1: Mechanics and Waves,SNU034.005.1x,Physics ,7,10,70
"International Politics in the Korean Peninsula, Part 1",SNU216B.226.1x,Politics ,8,4.5,36
Shakespeare: On the Page and in Performance,ENG112x,Literature ,12,4.5,54
Representations of HIV/AIDS,D002,Health ,7,5,35
Globalization's Winners and Losers: Challenges for Developed and Developing Countries,INFX523-02x,Globalization ,7,9,63
"Sense, Control, Act: Measure the Universe, Transform the World",Sense101x,Physics ,8,2.5,20
"The Divine Comedy: Dante's Journey to Freedom, Part 1",HUMX421-01,Literature ,6,9,54
"Fundamentals of Immunology, Part 2",BIOC372.2x,Immunonlogy ,9,9,81
"Data, Analytics and Learning",LINK5.10x,Logics,9,5,45
The Psychology of Criminal Justice,Crime101x,Psychology,8,1.5,12
Debt Sustainability Analysis,DSAx,Economics,6,7.5,45
Introduction to Drinking Water Treatment,CTB3365DWx,Biology ,8,8,64
Entrepreneurship and Healthcare in Emerging Economies,SW47.1x,Entrepreneurship ,12,5,60
Solving Complex Problems,TPM1x,Problem Solving ,5,8,40
Terrorism and Counterterrorism,GUIX-501-01x,Terrorism and Counterterrorism ,8,9,72
Alien Worlds: The Science of Exoplanet Discovery and Characterization,ASTR105x,Planetery,N/A,6,N/A
Technology for Biobased Products,TBP01x,Technology,8,8,64
Introduction to Functional Programming,FP101x,Programming,8,5,40
Delft Design Approach,DDA691x,Design ,9,7,63
Responsible Innovation,RI101x,Ethics ,8,7,56
Pragmatic Randomized Controlled Trials in Health Care,KIPractihx ,Health ,6,6,36
"Visualizing Postwar Tokyo, Part 1",UTokyo001x,History ,4,5.5,22
An Introduction to Global Health,KIGlobalHx,Health ,6,6.5,39
"Visualizing Postwar Tokyo, Part 2",UTokyo002x,History ,4,5.5,22
Introduction to the Treatment of Urban Sewage ,CTB3365STx,Urban Sewage ,8,8,64
"DOCUMENTAL! Nuevas tendencias, nuevos formatos | DOCUMENTARY! New Trends, New Formats",PCA.1x,Documentary ,8,5,40
"Explaining European Paintings, 1400 to 1800",CEH.1-ENx,Art,7,3,21
Introduction to Nutrition – Food for Health,NUTR101x,Health ,12,7,84
Growing our Future Food: Crops,GFFCx,Agriculture,6,6,36
Humanity and Nature in Chinese Thought,HKU03x,Nature,10,2.5,25
Introduction to Water and Climate,CTB3300WCx,Climatology,8,N/A,N/A
Genomic Medicine Gets Personal,MEDX202-01,Medicine ,8,8,864
Elements of Structures,2.01x,Structure ,12,12,144
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You ",USW30x,History ,5,5,25
Introduction to Statistics: Inference,Stat2.3x,Statistics,5,N/A,N/A
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",FPP.1x,Economics,6,9,54
Sabermetrics 101: Introduction to Baseball Analytics,SABR101x,Sabermetrics ,6,9,54
Mechanics ReView,8.MReVx,Engineering ,15,8,120
Natural Disasters,ATOC185x,Nature,13,5,65
Vocal Recording Technology,BMPR365x,Technology,6,5,30
Introduction to the Music Business,MB110x,Business,N/A,5,N/A
China (Part 6): The Manchus and the Qing,SW12.6x,History ,5,2.5,12.5
Introduction to Solid State Chemistry,3.091x,Chemistry,15,12,180
Big Data and Social Physics,MAS.S69x,Statistics,1,5,5
Cyber-Physical Systems,EECS149.1x,Physics ,6,9,54
Becoming a Resilient Person - The Science of Stress Management,ECFS311x,Management ,9,2.5,22.5
Autonomous Navigation for Flying Robots,AUTONAVx,Statistics,8,4,32
Copyright,HLS1.1x,Law,N/A,N/A,N/A
Engaging India,ANU-INDIA1x,History ,10,4,40
Tropical Coastal Ecosystems,TROPIC101x,Ecosystems,7,4.5,31.5
China (Part 5): From Global Empire to Global Economy,SW12.5x,History ,3,2.5,7.5
Next Generation Infrastructures - Part 1,NGI101x,Infrastructures ,7,8,56
The Evolving Universe,Ay1001x,Cosmology ,10,5,50
Engineering Software as a Service,CS169.1x,Engineering ,8,N/A,N/A
Introduction to Bioethics,PHLX101-01,Bioethics ,6,4,24
An Introduction to Credit Risk Management,TW3421x,Rish Management ,7,6,42
Introduction to Statistics: Probability,Stat2.2x,Statistics,5,N/A,N/A
The Chemistry of Life,001x,Chemistry,15,3,45
,,,,,
Justice,ER22.1x,Political Science ,12,2,24
Street-Fighting Math,6.SFMx,Mathematics ,7,7.5,52.5
Hypersonics – from Shock Waves to Scramjets,HYPERS301x,Engineering ,9,7.5,67.5
Data Analysis for Genomics,PH525x,Statistics ,N/A,3,N/A
United States Health Policy,PH210x,Health ,13,4,52
Introduction to Biomedical Imaging,BIOIMG101x,Biology ,10,2.5,25
Giving With Purpose: How to get the most out of your charitable giving,GWPx,Charity ,7,3,21
Evaluating Social Programs,JPAL101x,Sociology ,4,4,16
"Principles of Written English, Part 3",ColWri2.3x,Literature ,5,4.5,22.5
Innovating in Health Care,BUS5.1x,Health ,11,9,99
"Robot Mechanics and Control, Part I",SNU446.345.1x,Robotics ,6,6.5,39
Greatest Unsolved Mysteries of the Universe,ANU-ASTRO1x,Astrophysics,10,3,30
China (Part 4): A New National Culture,SW12.4x,History ,4,2.5,10
Entrepreneurship 101: Who is your customer?,15.390x,Entrepreneurship,6,4,24
American Capitalism: A History,HIST1514x,History ,8,4,32
Unlocking the Immunity to Change: A New Approach to Personal Improvement,GSE1x,Psychology ,N/A,N/A,N/A
Medicinal Chemistry: The Molecular Basis of Drug Discovery,001x,Chemistry,7,7,49
Introduction to Computational Thinking and Data Science,6.00.2x,Computer Science ,9,15,135
Flight Vehicle Aerodynamics,16.110x,Aerodynamics,14,12,168
The Analytics Edge,15.071x,Statistics ,11,9,99
Financial Analysis and Decision Making,80512073x,Businiess,10,3,30
Introduction to Aeronautical Engineering,AE1110x,Engineering ,10,12,120
"Networks, Crowds and Markets",INFO2040x,Sociology ,10,4.5,45
The Science of Everyday Thinking,Think101x,Logic ,12,2,24
Wiretaps to Big Data: Privacy and Surveillance in the Age of Interconnection,ENGRI1280x,Privacy Study ,10,4,40
History of Chinese Architecture: Part 2,80000901_2x,Architecture,9,4,36
Historical Relic Treasures and Cultural China: Part 1,00690242_1x,HIstory ,8,4,32
Global Health: Case Studies from a Biosocial Perspective,SW25x,Health ,12,4,48
Data Structures • 数据结构,30240184x,Computer Science ,14,8,112
Introduction to Statistics: Descriptive Statistics,Stat2.1X,Statistics ,5,N/A,N/A
Principles of Electric Circuits: Part 2,20220332_2x,Phyiscs ,8,8,64
Principles and Practice of Computer Aided Translation 计算机辅助翻译原理与实践,01718330x,Computer Science ,14,4,56
"Library Advocacy Unshushed: Values, evidence, action",LA101x,Library ,6,4.5,27
Global Warming Science,12.340x,Climatology,12,8,96
Effective Thinking Through Mathematics,UT.9.01x,Mathematics ,9,5,45
Paradigms of Computer Programming,Louv1.01x,Programming ,10,4.5,45
International Human Rights,Louv2.01x,Law,10,7,70
Discrete Time Signals and Systems,ELEC301x,Technology,10,8,80
Autonomous Mobile Robots,AMRx,Robotics ,15,5,75
China (Part 3): Cosmopolitan Tang: Aristocratic Culture,SW12.3x,History ,4,2.5,10
The Challenges of Global Poverty,14.73x,Literature ,14,6,84
Introduction to Probability - The Science of Uncertainty,6.041x,Statistics ,15,12,180
Building Mobile Experiences,21W.789x,Technology,12,11,132
"Was Alexander Great? The Life, Leadership, and Legacies of History’s Greatest Warrior",HIST229x,History ,13,5,65
Relativity and Astrophysics,ASTRO2290x,Phyiscs ,8,6,48
Linear Algebra - Foundations to Frontiers,UT.5.01x,Mathematics ,16,8,128
"Principles of Written English, Part 2",ColWri2.2x,Literature ,5,4.5,22.5
Embedded Systems - Shape The World,UT.6.01x,Technology,15,10,150
Jazz Appreciation,UT.8.01x,Musics,10,3,30
Poetry in America: Whitman,AI12.2x,Literature ,8,4.5,36
Electricity & Magnetism,PHYS_102x,Phyiscs ,12,11,132
Introduction to Public Speaking,COMM220UWx,Public Speaking,10,4,40
Principles of Economics with Calculus,Ec1011x,Economics ,10,9,90
Early Christianity: The Letters of Paul,HDS1544.1x,Religion ,N/A,N/A,N/A
China (Part 2): The Creation and End of a Centralized Empire,SW12.2x,History ,5,N/A,N/A
Health and Society,PH201x,Sociology ,12,3.75,45
Software as a Service,CS169.2x,Programming ,6,12,72
"Principles of Written English, Part 1",ColWri2.1x,Literature ,5,5.5,27.5
Poetry in America: The Poetry of Early New England,AI12.1x,Literature ,4,4,16
China,SW12x,History ,N/A,2.5,N/A
"Fundamentals of Neuroscience, Part I",MCB80.1x,Neuroscience,12,N/A,N/A
Our Energetic Earth,OEE101x,Energy ,6,2.5,15
Neuronal Dynamics - Computational Neuroscience of Single Neurons,BIO465X,Neuroscience,7,6,42
Dynamics,2.03x,Phyiscs ,6,12,72
History of Chinese Architecture — Part 1,80000901_1X,History ,8,4,32
Principles of Electric Circuits: Part 1,20220332X,Phyiscs ,8,8,64
Circuits and Electronics,6.002x,Phyiscs ,N/A,12,N/A
Fundamentals of Clinical Trials,HSPH-HMS214x,Clinical trials,N/A,5,N/A
Behavioural Economics in Action,BE101x,Economics ,6,4.5,27
Science & Cooking: From Haute Cuisine to Soft Matter Science,SPU27x,Culinary ,N/A,N/A,N/A
Foundations of Computer Graphics,CS-184.1x,Computer Science ,6,12,72
"Central Challenges of American National Security, Strategy and the Press: An Introduction",HKS211.1x,U.S Security ,8,8,64
"Introduction to Philosophy: God, Knowledge and Consciousness",24.00x,Philosophy ,11,5,55
Learning From Data,CS1156x,Machine Learning,10,10,100
Introduction to Aerodynamics,16.101x,Aerodynamics,15,12,180
Introduction to Human Evolution,ANTH207x,Biology ,12,5,60
A Global History of Architecture — Part 1,4.605x,Architecture,13,5,65
Innovation and Commercialization,3.086x,Innovation ,13,12,156
Take Your Medicine - The Impact of Drug Development,UT.4.01x,Medicine,9,N/A,N/A
Ideas of the Twentieth Century,UT.2.01x,History ,N/A,N/A,N/A
Energy 101,UT.1.01x,Energy ,N/A,N/A,N/A
Classical Mechanics,8.01x,Phyiscs ,19,12,228
The Ancient Greek Hero,CB22.1x,History ,17,4,98
Age of Globalization,UT.3.01x,Globalization,15,N/A,N/A
Quantum Mechanics and Quantum Computation,CS-191x,Quantum Mechnics ,9,8.5,76.5
Human Health and Global Environmental Change,PH278x,Health ,12,N/A,N/A
Artificial Intelligence,CS188.1x,AI,11,15,165
Electricity and Magnetism,8.02x,Phyiscs ,17,9,153
Health in Numbers: Quantitative Methods in Clinical & Public Health Research,PH207x,Health ,13,10,130
Future Cities,FC-01x,City Study,9,3,27
